"Options.SECTION:[algernon.ImageOverlay]"	"Görüntü Kaplama"
"Options.TAB:Overlay"	"Kaplama"
"Options.TAB:Keys"	"Tuşlar"
"Options.GROUP:OverlaySize"	"Kaplama boyutu"
"Options.GROUP:OverlayPosition"	"Kaplama konumu"
"Options.GROUP:OverlayRotation"	"Kaplama rotasyonu"
"Options.GROUP:OverlayElevation"	"Kaplama yüksekliği"
"Options.OPTION:SelectedOverlay"	"Kullanılacak kaplama dosyası"
"Options.OPTION_DESCRIPTION:SelectedOverlay"	"Kullanılacak bir kaplama dosyası seçin."
"Options.OPTION:RefreshFileList"	"Dosya listesini yenile"
"Options.OPTION_DESCRIPTION:RefreshFileList"	"Cities: Skylines II kullanıcı ayarları dizinindeki 'Overlays' klasöründen mevcut kaplama dosyalarının listesini yeniler."
"Options.GROUP:OverlayLock"	"Kaplama kilidi"
"Options.OPTION:IsLocked"	"Kaplama konumunu kilitle"
"Options.OPTION_DESCRIPTION:IsLocked"	"Etkinleştirildiğinde, kaplamanın taşınması, döndürülmesi ve yeniden boyutlandırılması için tüm klavye kısayolları devre dışı bırakılır."
"Options.OPTION:SnapToTerrainAndLock"	"Araziye yapıştır ve kilitle"
"Options.OPTION_DESCRIPTION:SnapToTerrainAndLock"	"Yükseklik ofsetini sıfırlayarak kaplamanın araziye tam oturmasını sağlar, ardından kaplamanın konumunu kilitler."
"Options.OPTION:ShowThroughTerrain"	"Kaplamanın arazi altında görünmesi"
"Options.OPTION_DESCRIPTION:ShowThroughTerrain"	"Bu seçenek etkinleştirildiğinde, kaplama görüntüsü arazinin altında olsa bile görünür kalır."
"Options.OPTION:OverlaySize"	"Kaplama boyutu"
"Options.OPTION_DESCRIPTION:OverlaySize"	"Kaplama görüntüsü projeksiyonunun metre cinsinden boyutu. Bu değer oyun içinde eksi ve eşittir tuşlarıyla da değiştirilebilir."
"Options.OPTION:ResetToVanilla"	"Kaplama boyutunu sıfırla"
"Options.OPTION_DESCRIPTION:ResetToVanilla"	"Kaplama boyutunu varsayılan oynanabilir harita boyutuna (14.336m) sıfırlar."
"Options.OPTION:OverlayPosX"	"Kaplama X konumu"
"Options.OPTION_DESCRIPTION:OverlayPosX"	"Kaplama görüntüsü projeksiyonunun merkezinin metre cinsinden X (doğu-batı) koordinatı. Bu değer oyun içinde kontrol (1m adımlarla) veya shift (10m adımlarla) tuşuna basılı tutarak sol ve sağ ok tuşlarıyla da değiştirilebilir."
"Options.OPTION:OverlayPosZ"	"Kaplama Z konumu"
"Options.OPTION_DESCRIPTION:OverlayPosZ"	"Kaplama görüntüsü projeksiyonunun merkezinin metre cinsinden Z (kuzey-güney) koordinatı. Bu değer oyun içinde kontrol (1m adımlarla) veya shift (10m adımlarla) tuşuna basılı tutarak yukarı ve aşağı ok tuşlarıyla da değiştirilebilir."
"Options.OPTION:OverlayPosY"	"Kaplama yüksekliği"
"Options.OPTION_DESCRIPTION:OverlayPosY"	"Kaplama görüntüsü projeksiyonunun harita tabanının üzerindeki metre cinsinden yüksekliği. Bu değer oyun içinde kontrol tuşuna basılı tutarak page-up ve page-down tuşlarıyla da değiştirilebilir."
"Options.OPTION:ResetPosition"	"Kaplama konumunu sıfırla"
"Options.OPTION:OverlayRotation"	"Kaplama rotasyonu"
"Options.OPTION_DESCRIPTION:OverlayRotation"	"Kaplama görüntüsü projeksiyonunun derece cinsinden rotasyonu."
"Options.OPTION:ResetRotation"	"Kaplama rotasyonunu sıfırla"
"Options.OPTION_DESCRIPTION:ResetPosition"	"Kaplama konumunu haritanın merkezine sıfırlar."
"Options.OPTION:Alpha"	"Kaplama şeffaflığı"
"Options.OPTION_DESCRIPTION:Alpha"	"Görüntünün şeffaflığı; %0 tamamen opak, %100 tamamen şeffaftır (görünmez)."
"Options.OPTION:ToggleBinding"	"Kaplama görünürlüğünü aç/kapat"
"Options.OPTION_DESCRIPTION:ToggleBinding"	"Kaplama görünürlüğünü açık ve kapalı arasında değiştirir."
"Options.OPTION:IncreaseSizeBinding"	"Boyutu 10m artır"
"Options.OPTION_DESCRIPTION:IncreaseSizeBinding"	"Kaplama görüntüsünün boyutunu 10m artırır."
"Options.OPTION:DecreaseSizeBinding"	"Boyutu 10m azalt"
"Options.OPTION_DESCRIPTION:DecreaseSizeBinding"	"Kaplama görüntüsünün boyutunu 10m azaltır."
"Options.OPTION:IncreaseSizeLargeBinding"	"Boyutu 100m artır"
"Options.OPTION_DESCRIPTION:IncreaseSizeLargeBinding"	"Kaplama görüntüsünün boyutunu 100m artırır."
"Options.OPTION:DecreaseSizeLargeBinding"	"Boyutu 100m azalt"
"Options.OPTION_DESCRIPTION:DecreaseSizeLargeBinding"	"Kaplama görüntüsünün boyutunu 100m azaltır."
"Options.OPTION:MoveUpBinding"	"Yüksekliği 1m artır"
"Options.OPTION_DESCRIPTION:MoveUpBinding"	"Kaplama yüksekliğini 1m artırır."
"Options.OPTION:MoveDownBinding"	"Yüksekliği 1m azalt"
"Options.OPTION_DESCRIPTION:MoveDownBinding"	"Kaplama yüksekliğini 1m azaltır."
"Options.OPTION:MoveUpLargeBinding"	"Yüksekliği 10m artır"
"Options.OPTION_DESCRIPTION:MoveUpLargeBinding"	"Kaplama yüksekliğini 10m artırır."
"Options.OPTION:MoveDownLargeBinding"	"Yüksekliği 10m azalt"
"Options.OPTION_DESCRIPTION:MoveDownLargeBinding"	"Kaplama yüksekliğini 10m azaltır."
"Options.OPTION:MoveNorthBinding"	"Kuzeye 1m taşı"
"Options.OPTION_DESCRIPTION:MoveNorthBinding"	"Kaplama görüntüsünü kuzeye 1m taşır."
"Options.OPTION:MoveSouthBinding"	"Güneye 1m taşı"
"Options.OPTION_DESCRIPTION:MoveSouthBinding"	"Kaplama görüntüsünü güneye 1m taşır."
"Options.OPTION:MoveEastBinding"	"Doğuya 1m taşı"
"Options.OPTION_DESCRIPTION:MoveEastBinding"	"Kaplama görüntüsünü doğuya 1m taşır."
"Options.OPTION:MoveWestBinding"	"Batıya 1m taşı"
"Options.OPTION_DESCRIPTION:MoveWestBinding"	"Kaplama görüntüsünü batıya 1m taşır."
"Options.OPTION:MoveNorthLargeBinding"	"Kuzeye 10m taşı"
"Options.OPTION_DESCRIPTION:MoveNorthLargeBinding"	"Kaplama görüntüsünü kuzeye 10m taşır."
"Options.OPTION:MoveSouthLargeBinding"	"Güneye 10m taşı"
"Options.OPTION_DESCRIPTION:MoveSouthLargeBinding"	"Kaplama görüntüsünü güneye 10m taşır."
